,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
11,11,False,[16.33658802 43.3881286 ],[16.11036215 43.22150597],1,0,0,,0,0.6786775990846329,0.4998678864571725,skyblue,"[(16.507300369161293, 44.01094264097028)]"
12,12,False,[28.41277138 75.24173516],[28.47476859 75.28808622],1,0,0,,0,0.5579749167365882,0.13905315715552513,skyblue,"[(27.250743189185815, 74.9791337532707)]"
13,13,False,[86.66948552 38.92964436],[86.94593434 39.55843665],1,0,0,,0,0.8293464654373138,0.6287922810966433,slategray,"[(86.29428824387355, 38.366061083968596)]"
14,14,False,[83.2677915  66.79650236],[83.86863179 66.80481424],1,0,0,,0,0.6008402944574242,0.07480689216267777,firebrick,"[(83.95498131924766, 66.79074086895103)]"
15,15,False,[49.45802106 82.30130472],[49.89065234 82.17427833],1,0,0,,0,0.4326312793782795,0.22864749803927276,peru,"[(49.123794891297756, 83.10293388062043)]"
16,16,False,[95.0290244  11.01737293],[95.34453726 10.86760786],1,0,0,,0,0.40565938302798876,0.26957713361196156,olivedrab,"[(94.63565099485258, 11.474375196303146)]"
17,17,False,[26.7530358  92.52752443],[26.94032547 92.12332875],1,0,0,,0,0.3371214121766023,0.7275522206092567,rebeccapurple,"[(27.346262155668164, 91.89660208220823)]"
18,18,False,[62.72647811 25.2949559 ],[62.74033265 26.15256046],1,0,0,,0,0.12469085833682636,0.857604557984603,lightgrey,"[(62.70275600200674, 25.130434932807407)]"
19,19,False,[48.47499506 55.24443761],[48.45117153 55.58790361],1,0,0,,0,0.2144117411999642,0.6182388061500032,yellow,"[(47.888666442747734, 54.39504068530183)]"
20,20,False,[ 4.5714422  56.62223381],[ 4.24445497 56.66599496],1,0,0,,0,0.9809616925227701,0.1312834493892362,lemonchiffon,"[(5.2315073380193535, 57.093971905888424)]"
21,21,False,[70.13358734 65.44891629],[69.7968668  66.03404421],1,0,0,,0,0.43292640973218766,0.7523073221439044,indigo,"[(70.05598179029201, 64.50456959342466)]"
22,22,False,[71.5164819  96.71896128],[71.21879298 96.47140595],1,0,0,,0,0.3827429061012819,0.4455995906606064,mediumorchid,"[(71.74337817379427, 96.91663017275083)]"
23,23,False,[70.89928845  6.30295874],[70.95020957  6.29868565],1,0,0,,0,0.45829013176382216,0.03845786996157097,linen,"[(70.53171073026073, 6.867417277796505)]"
